1,-1.4319,-3.6619,-3.7445,-1.2666,-1.3558,-3.9864,-1.0756,-1.4574,-2.7101,-3.1264,-1.354,-1.7032,-0.14693,-4.1903,-0.71711,-0.56261,-1.4282,-1.2882,-0.71457,-1.9322,-3.3565,-1.8323,-1.0443,-0.43852,-3.4056,-1.9874,-2.4945,-1.1896,-2.9581
5.9397e-05,3.6965,-8.1629,-5.0498,-3.0632,0.24612,-1.7265,-4.9837,0.92216,-3.5693,-0.70997,-1.3326,1.4888,0.92292,-7.6637,-2.1058,0.081967,-2.7853,6.4162,8.1842,-0.26434,-6.4266,-2.4819,4.0045,3.0162,-7.1577,4.6147,-1.6036,-4.5484,4.6947
0.9808,-1.2883,-4.0918,-3.6762,-1.2525,-1.3689,-3.9385,-2.2411,-1.5636,-2.4657,-2.0442,-1.5214,-1.7098,-0.16869,-3.7548,-0.92515,-0.53633,-1.4779,-1.3349,0.41506,-2.0487,-4.0911,-2.3189,-1.09,0.050861,-3.7363,-2.6332,-1.877,-1.343,-2.9943
0.81649,-1.2811,-3.7151,-3.6957,-1.3119,-1.2522,-2.947,-1.7759,-1.4701,-2.6557,-2.9611,-1.205,-1.6355,-0.16573,-4.0409,-0.83317,-0.35382,-1.2884,-0.83901,-0.57858,-1.3445,-3.2611,-1.6525,-1.0521,0.37174,-3.4487,-2.0962,-2.2908,-1.5452,-2.2846
0.65045,-0.8459,-5.0507,-3.7924,-1.6446,-0.9706,-2.9493,-1.9694,-1.3011,-2.276,-2.4945,-1.3479,-1.7322,-0.34647,-2.9398,-0.74194,-0.50977,-1.385,-1.3177,0.26533,-1.443,-2.7962,-2.1704,-0.68515,-0.3119,-3.5036,-0.54382,-2.2731,-1.647,-2.0259
0.85353,-0.95196,-4.082,-3.7994,-1.441,-1.1574,-2.7513,-2.2445,-1.3589,-2.6717,-2.1838,-1.2335,-1.564,-0.28335,-3.4966,-0.80973,-0.3477,-1.4653,-0.4539,-0.59087,-1.8259,-3.1874,-2.1491,-0.78557,0.15597,-3.558,-1.4158,-2.325,-2.0274,-2.2608
0.8541,-0.78416,-4.6692,-3.8755,-1.7519,-1.0474,-3.4862,-2.5769,-1.3351,-2.723,-2.4026,-1.1962,-1.4273,-0.2967,-3.0672,-0.80836,-0.50429,-1.6084,-0.50753,-0.15033,-1.7301,-3.1423,-2.0296,-0.55168,0.16825,-3.5871,-1.1058,-2.2768,-2.173,-1.9791
0.96842,-0.97645,-3.9747,-3.7652,-1.6653,-1.1917,-3.2257,-2.5224,-1.0276,-2.5976,-2.3041,-1.154,-1.566,-0.31234,-3.3306,-0.80414,-0.48873,-1.6615,-1.0295,-0.58697,-1.6864,-2.2125,-1.9549,-0.65297,0.18634,-3.5643,-1.5852,-2.4002,-2.1543,-2.3575
0.14797,-0.54052,-4.6555,-4.1922,-2.5949,-0.4358,-2.3451,-3.7123,-0.23928,-2.5219,-1.4075,-1.2901,-1.8317,-0.050947,-3.556,-0.98005,-0.49525,-1.6966,-0.24469,0.020947,-1.4431,-5.2113,-1.9735,0.028195,-0.20925,-4.9968,-0.22562,-2.1234,-2.357,-2.0448
0.77893,-1.1785,-4.2172,-3.9356,-1.3684,-1.1203,-2.4496,-1.9594,-1.64,-2.5633,-2.8606,-1.1123,-1.8559,-0.38752,-3.547,-0.6677,-0.39585,-1.3537,-0.89776,-0.28474,-1.6049,-3.3198,-1.7826,-0.99413,0.23112,-3.5722,-1.9695,-2.2695,-1.9309,-2.2256
